Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PRO SMART (CV.MULTINDO KREASI) - NEW,CORPORATE,00.COST,MGGTID,200311,14.0,588000.0,42000.0,42000.0
January,LAINNYA,PRO SMART (CV.MULTINDO KREASI) - NEW,CORPORATE,00.COST,MGGTID,200289,4.0,180000.0,45000.0,45000.0
January,LAINNYA,PT AMIRA PERDANA - HO,KONTRAKTOR,Aset Dalam Penyelesaian [NP Resto],GGPPAN,410144,2.0,1498500000.0,666000000.0,832500000.0
January,LAINNYA,PT GRAHA MUTU PERSADA,VENDOR SDG,Biaya PPN [NP ALL,SDAGEL,410142,1.0,112750.0,112750.0,112750.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,CBICIB,200289,2.0,70000.0,35000.0,35000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,CBICIB,200318,61.0,2196000.0,36000.0,36000.0
January,LAINNYA,PT FIBER NETWORKS INDONESIA,NON-BAHAN,Biaya PPN [NP ALL,CBIMAY,410142,1.0,330000.0,330000.0,330000.0
January,LAINNYA,PT FIBER NETWORKS INDONESIA,NON-BAHAN,Beban Internet [NP Resto],TNGCIL,410145,1.0,3000000.0,3000000.0,3000000.0
January,LAINNYA,PT FIBER NETWORKS INDONESIA,NON-BAHAN,Beban Internet [NP Resto],CBIMAY,410145,1.0,3000000.0,3000000.0,3000000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Jasa Lainnya (Badan Usaha) [NP RESTO],MLGDIR,410148,1.0,750000.0,750000.0,750000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Jasa Lainnya (Badan Usaha) [NP RESTO],MKSTUN,410148,1.0,750000.0,750000.0,750000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Jasa Lainnya (Badan Usaha) [NP RESTO],MKSAHM,410148,1.0,750000.0,750000.0,750000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,CBICIB,200311,2.0,74000.0,37000.0,37000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Jasa Lainnya (Badan Usaha) [NP RESTO],CBICIB,410148,1.0,500000.0,500000.0,500000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Biaya PPN [NP ALL,MKSTUN,410142,1.0,82500.0,82500.0,82500.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Biaya PPN [NP ALL,MKSAHM,410142,1.0,82500.0,82500.0,82500.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Biaya PPN [NP ALL,CBICIB,410142,1.0,55000.0,55000.0,55000.0
January,LAINNYA,PT DWIGUNA MEGANTARA CITRA - HO,CORPORATE,Jasa Lainnya PP23 [NP CP],PELTU,410150,11.0,34191300.0,0.0,34191300.0
