Month,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,Kategori
February,DISPENSER SABUN KRISBOW,28.0,50.0,24,
February,DITEKTOR UANG PALSU,26.0,,67,
February,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),26.0,35.0,43,
February,DUSTBIN STAINLESS BULAT,7.0,,15,
February,EMBER,12.0,40.0,112,
February,EMBER 6 GL,27.0,46.0,51,
February,EROS MELAMINE UK BESAR,19.0,40.0,79,
February,EROS STAINLESS UK 30 CC,43.0,110.0,376,
February,EROS STAINLESS UK 60 CC,34.0,,330,
February,EROS STAINLESS UK 90 CC,36.0,,333,
February,EROS STAINLESS UK BESAR,12.0,22.0,62,
February,FILLING KABINET,8.0,1.0,14,
February,FOOD PAN KECIL,40.0,50.0,36,
February,GARPU ADUKAN MIE,124.0,60.0,20,
February,GARPU MAKAN,12.0,,528,
February,GAS BURNER ( LONG SHUN ),17.0,12.0,17,MAINTENANCE
February,GAS KNOP DIA 8 MM W,,,87,MAINTENANCE
February,GAS KNOP F/JP SERIES,,,60,MAINTENANCE
February,GAS VALVE HIGH PREASURE (CONTROL SE),,5.0,5,MAINTENANCE
February,GAS VALVE HP DOUBLE TURBO,18.0,20.0,22,MAINTENANCE
February,GELAS KARYAWAN,987.0,1920.0,1332,
February,GELAS MINUMAN HANGAT,277.0,1320.0,1445,
February,GELAS TEA,7465.0,12900.0,24728,
February,GELAS UKUR 130 ML,57.0,70.0,131,
February,GOLOK,55.0,64.0,93,
February,HAND DRAYER,9.0,25.0,52,
February,HARD COVER HIMBAUAN,40.0,,277,
February,HARD COVER MENU DIMSUM,121.0,,741,
February,JIGGER UK 20/30,34.0,30.0,84,
February,JIGGER UK 20/40,24.0,40.0,100,
February,JIGGER UK 30/40,34.0,45.0,87,
February,KESET KOTAK KARET LUBANG,52.0,50.0,3,
February,KLAKAT DIMSUM,6155.0,,2362,
February,KLAKAT PREMIUM,500.0,,150,
February,KNOP BOILER/WATER TAP HEAD,,,71,MAINTENANCE
February,KNOP F/GAS COOK DIAL,,,41,MAINTENANCE
February,KONTAINER PERFORATED,35.0,70.0,68,
February,KONTAINER SOLID,21.0,15.0,23,
February,LADIES STICKER,22.0,,59,
February,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,,71,MAINTENANCE
February,LOCKER SET,68.0,222.0,264,
February,LOGGER,200.0,200.0,144,
February,MAGNET D 22 W/TREADED BOLT (SP),,,6,MAINTENANCE
February,MESIN CUP SEALER,12.0,,130,
February,MOB BUCKET (ALAT PEL SET),10.0,,57,
February,MUKENA,30.0,,30,
February,NAMPAN KARET BULAT,35.0,,122,
February,NAMPAN KARET KOTAK (DIMSUM),280.0,,585,
February,NAMPAN KAYU KOTAK,129.0,,71,
February,PALLET BIRU (DRY),94.0,118.0,24,
February,PALLET HIJAU (FROZEN),71.0,45.0,45,
February,PANCI DANDANG DIMSUM UK 36,64.0,90.0,51,
February,PANCI ENDAPAN MINYAK UK 40,33.0,32.0,14,
February,PANCI KUKUS TAHU UK 36,1.0,,36,
February,PANCI MIE,1921.0,1800.0,1301,
February,PANCI ORCHID UK 28,8.0,,8,
February,PANCI ORCHID UK 32 CM,26.0,,68,
February,PANCI ORCHID UK 36,50.0,18.0,65,
February,PAPAN AWAS LANTAI LICIN,14.0,,48,
February,PAPAN TULIS,18.0,15.0,44,
February,PEMATIK KOMPOR,21.0,,120,MAINTENANCE
February,PEMBATAS ANTRIAN,40.0,40.0,30,
February,PEMUKUL DAGING,31.0,25.0,171,
February,PIEZO IGNITER UK 18.MM,,,131,MAINTENANCE
February,PILOT 250 MM (KOMPOR HIGH PREASURE),11.0,20.0,23,MAINTENANCE
February,PILOT BURNER F/BUNSEN,,,111,MAINTENANCE
February,PILOT SW 9000 (SP),,,2,MAINTENANCE
February,PIRING HAWAI BLACK,3087.0,4350.0,17950,
February,PISAU BUAH BESAR,100.0,100.0,140,
February,PISAU BUAH KECIL,102.0,,207,
February,PISAU GILING DAGING,64.0,,245,
February,PRAXIS KEEPER UK 900ML,55.0,,177,
February,PUMP DISPENSER,7.0,,40,
February,RAK GALON OJOL,5.0,,40,
February,RAK KONTAINER KECIL,19.0,48.0,51,
February,RAK MUKENA,10.0,35.0,40,
February,RAK PENITIPAN BARANG CUSTOMER,7.0,,15,
February,RAK SEPATU KARYAWAN,7.0,36.0,65,
February,REGULATOR,61.0,20.0,56,MAINTENANCE
February,SAFETY GAS COOK (GASVALVE GS3878)8325183,,,113,MAINTENANCE
February,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,,,MAINTENANCE
February,SAJADAH,21.0,,45,
February,SARINGAN MIE,1226.0,1000.0,1251,
February,SARINGAN MINYAK,81.0,176.0,197,
February,SARINGAN TEH GACOAN,56.0,180.0,365,
February,SARUNG,21.0,5.0,45,
February,SCALE OFF (PEMBERSIH TANGKI BOILER),84.0,200.0,244,
