Quarter,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,HARGA PEMBELIAN TERAKHIR,TOTAL [PEMBELIAN],OVERSTOCK,BUFFER STOCK,TOTAL [SALDO AKHIR],ANGKA STANDART BARU,OVERSTOCK [ANGKA STANDART BARU],ANGKA STANDART LAMA,Kategori,OVERSTOCK [ANGKA STANDART LAMA]
Q3,TEKO BESAR ( BIANG TEH ),29.0,57.0,78.0,32500.0,1852500.0,OVER,8.0,2535000.0,37.0,OVER,73,,OK
Q3,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),31.0,204.0,280.0,353812.5,72177750.0,OVER,10.0,99067500.0,41.0,OVER,90,,OVER
Q3,TEMPAT SAMPAH ABU-ABU 20 LTR,52.0,109.0,129.0,93632.0,10205888.0,OVER,18.0,12078528.0,70.0,OVER,239,,LOW
Q3,TEMPAT SAMPAH BESAR UK 80 LTR,17.0,,17.0,165000.0,,OK,9.0,2805000.0,26.0,OK,32,,LOW
Q3,TEMPAT SAMPAH KECIL UK 10 LTR,48.0,105.0,177.0,47500.0,4987500.0,OVER,13.0,8407500.0,61.0,OVER,172,,OK
Q3,TEMPAT SENDOK,,17.0,37.0,22500.0,382500.0,OVER,0.0,832500.0,0.0,OVER,19,,OVER
Q3,TEMPAT SENDOK FELICIA JUMBO,12.0,360.0,448.0,34669.0,12480840.0,OVER,7.0,15531712.0,19.0,OVER,77,,OVER
Q3,TEMPAT TIMER,28.0,53.0,45.0,30000.0,1590000.0,OVER,32.0,1350000.0,60.0,OK,45,,OK
Q3,TERMOGUN,27.0,15.0,276.0,253080.0,3796200.0,OK,2.0,69850080.0,29.0,OVER,106,,OVER
Q3,TERMOMETER,39.0,158.0,516.0,110000.0,17380000.0,OVER,20.0,56760000.0,59.0,OVER,151,,OVER
Q3,TERMOS AIR,19.0,49.0,60.0,340000.0,16660000.0,OVER,8.0,20400000.0,27.0,OVER,53,,OK
Q3,THERMOCOUPLE,53.0,45.0,333.0,154074.0,6933330.0,OK,56.0,51306642.0,109.0,OVER,0,MAINTENANCE,OVER
Q3,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",12.0,43.0,60.0,152921.0,6575603.0,OVER,21.0,9175260.0,33.0,OVER,0,MAINTENANCE,OVER
Q3,TIMBANGAN 100 KG,11.0,6.0,34.0,1375000.0,8250000.0,OK,4.0,46750000.0,15.0,OVER,35,,LOW
Q3,TIMBANGAN DIGITAL FORTUNO 30 KG,27.0,43.0,266.0,700000.0,30100000.0,OVER,4.0,186200000.0,31.0,OVER,76,,OVER
Q3,TIMBANGAN DIGITAL KECIL,33.0,77.0,46.0,70000.0,5390000.0,OVER,48.0,3220000.0,81.0,OK,27,,OK
Q3,TIMER DIGITAL,605.0,747.0,776.0,16500.0,12325500.0,OVER,105.0,12804000.0,710.0,OVER,1500,,LOW
Q3,TOOL BOX,7.0,28.0,34.0,808000.0,22624000.0,OVER,4.0,27472000.0,11.0,OVER,22,,OVER
Q3,TOPLES UK 18 LTR,516.0,800.0,603.0,48000.0,38400000.0,OVER,135.0,28944000.0,651.0,OK,390,,OVER
Q3,TOPLES UK 4 LTR,142.0,159.0,269.0,22000.0,3498000.0,OVER,32.0,5918000.0,174.0,OVER,368,,LOW
Q3,TOPLES UK 9 LTR,275.0,429.0,424.0,30000.0,12870000.0,OVER,71.0,12720000.0,346.0,OVER,250,,OVER
Q3,TOWEL,2141.0,,33820.0,6500.0,,OK,444.0,219830000.0,2585.0,OVER,8649,,OVER
Q3,TROLLI CLEAR UP,33.0,70.0,209.0,1206292.5,84440475.0,OVER,20.0,252115132.5,53.0,OVER,150,,OVER
Q3,TROLLI LOADING,9.0,25.0,52.0,1550000.0,38750000.0,OVER,3.0,80600000.0,12.0,OVER,50,,OK
Q3,WAJAN BESI UK 50',35.0,50.0,50.0,125000.0,6250000.0,OVER,4.0,6250000.0,39.0,OVER,161,,LOW
Q3,WAJAN BESI UK 70',23.0,15.0,72.0,300000.0,4500000.0,OK,10.0,21600000.0,33.0,OVER,120,,LOW
Q4,AKRILIC PRINTER,53.0,61.0,145.0,41500.0,2531500.0,OVER,31.0,6017500.0,84.0,OVER,192,,LOW
Q4,ALAT PEL,41.0,49.0,105.0,41056.38562,2011762.8953800001,OVER,24.0,4310920.4901,65.0,OVER,102,,OK
Q4,ALAT PEMADAM KEBAKARAN ( APAR ),10.0,19.0,36.0,748103.2689,14213962.109100001,OVER,7.0,26931717.6804,17.0,OVER,19,,OVER
Q4,AMBRO FLATWARE BASKET,10.0,1.0,46.0,85000.0,85000.0,OK,8.0,3910000.0,18.0,OVER,32,,OVER
Q4,APAR POWDER 3KG,19.0,30.0,66.0,449199.6002,13475988.006,OVER,15.0,29647173.613199998,34.0,OVER,27,,OVER
Q4,APAR TIPE K 6KG,10.0,14.0,33.0,1550000.0,21700000.0,OVER,7.0,51150000.0,17.0,OVER,16,,OVER
Q4,ASBAK,266.0,342.0,384.0,12500.0,4275000.0,OVER,34.0,4800000.0,300.0,OVER,400,,LOW
Q4,BABY CHAIR,33.0,2.0,146.0,296867.54,593735.08,OK,15.0,43342660.839999996,48.0,OVER,52,,OVER
