CAB,MONTH,SOURCE,KAT,NOM
BGRPAD,01-Apr-24,WEB,GO RESTO,229604764
BGRPAD,01-Apr-24,WEB,GRAB FOOD,469532458
BGRPAD,01-Apr-24,WEB,QRIS SHOPEE,242458000
BGRPAD,01-Apr-24,WEB,SHOPEEPAY,805012569
BGRPAD,01-Jun-24,INVOICE,GO RESTO,345507380
BGRPAD,01-Jun-24,INVOICE,GRAB FOOD,333687056
BGRPAD,01-Jun-24,INVOICE,QRIS SHOPEE,376576500
BGRPAD,01-Jun-24,INVOICE,SHOPEEPAY,785906750
BGRPAD,01-Jun-24,WEB,CASH,1420510000
BGRPAD,01-Jun-24,WEB,EDC,131442000
BGRPAD,01-Jun-24,WEB,GO RESTO,345877051
BGRPAD,01-Jun-24,WEB,GRAB FOOD,333204124
BGRPAD,01-Jun-24,WEB,QRIS SHOPEE,376332000
BGRPAD,01-Jun-24,WEB,SHOPEEPAY,787011605
BGRPAD,01-Mar-24,INVOICE,GO RESTO,169224633
BGRPAD,01-Mar-24,INVOICE,GRAB FOOD,346848786
BGRPAD,01-Mar-24,INVOICE,QRIS SHOPEE,231124325
BGRPAD,01-Mar-24,INVOICE,SHOPEEPAY,724592444
BGRPAD,01-Mar-24,WEB,GO RESTO,169458159
BGRPAD,01-Mar-24,WEB,GRAB FOOD,347160190
BGRPAD,01-Mar-24,WEB,QRIS SHOPEE,230715500
BGRPAD,01-Mar-24,WEB,SHOPEEPAY,725683023
BGRPAD,01-May-24,INVOICE,GO RESTO,305012437
BGRPAD,01-May-24,INVOICE,GRAB FOOD,339330353
BGRPAD,01-May-24,INVOICE,QRIS SHOPEE,341110300
BGRPAD,01-May-24,INVOICE,SHOPEEPAY,811450467
BGRPAD,01-May-24,WEB,GO RESTO,305277912
BGRPAD,01-May-24,WEB,GRAB FOOD,339950015
BGRPAD,01-May-24,WEB,QRIS SHOPEE,340564500
BGRPAD,01-May-24,WEB,SHOPEEPAY,812350556
BKSJAT,01-Apr-24,INVOICE,GO RESTO,489237093
BKSJAT,01-Apr-24,INVOICE,GRAB FOOD,491249010.4
BKSJAT,01-Apr-24,INVOICE,QRIS SHOPEE,392950817
BKSJAT,01-Apr-24,INVOICE,SHOPEEPAY,987470498
BKSJAT,01-Apr-24,WEB,GO RESTO,489967432
BKSJAT,01-Apr-24,WEB,GRAB FOOD,495148699
BKSJAT,01-Apr-24,WEB,QRIS SHOPEE,393191500
BKSJAT,01-Apr-24,WEB,SHOPEEPAY,988790978
BKSJAT,01-Aug-24,INVOICE,GO RESTO,371157059
BKSJAT,01-Aug-24,INVOICE,GRAB FOOD,329708763.2
BKSJAT,01-Aug-24,INVOICE,QRIS SHOPEE,419754505
BKSJAT,01-Aug-24,INVOICE,SHOPEEPAY,1032402214
BKSJAT,01-Aug-24,WEB,CASH,1224092500
