Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],GAINWS,410273,26,1202499,46249.9375,46250
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,FAWHSM,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,ELLVOC,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,HLVIMA,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,WGHPJP,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,NQQXEJ,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,EQQLTF,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,KLXQOJ,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,EBPNTK,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,OTIKVS,910001,1,5550000,5550000,5550000
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,BIUDGZ,910001,1,5550000,5550000,5550000
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],YMHHOR,410273,11,508750,46250,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],JWJTLL,410273,16,740000,46250,46250
January,LAINNYA,PT. VIBE DC COMICS,KONTRAKTOR,Aset Dalam Penyelesaian [NPR],PHRLIL,410144,1,782550000,782550000,782550000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,YCDKIA,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,HQAZVF,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,PPTZDF,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,LGZIWN,200746,12000,560000,46.666666,46.666666
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,TYQZGL,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,CMTQMU,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,UQMFBT,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,ENTWVR,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,RVFOGC,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,VGXQFC,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,KKLPPK,200706,10,1150000,115000,115000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,IYMXAP,200706,10,1150000,115000,115000
January,LAINNYA,PT. T-1000 DARK HORSE COMICS,KONTRAKTOR,Aset Dalam Penyelesaian [NPR],ISPEZN,410144,3,1676100000,133200000,1098900000
January,LAINNYA,PT. T-1000 DARK HORSE COMICS,KONTRAKTOR,Aset Dalam Penyelesaian [NPR],NSVBLL,410144,1,1109722500,1109722500,1109722500
January,LAINNYA,PT. T-1000 DARK HORSE COMICS,KONTRAKTOR,Jasa Pemeliharaan Bangunan [NPR],JWUJGA,410117,2,34787400,3447400,31340000
January,LAINNYA,PT. T-1000 DARK HORSE COMICS,KONTRAKTOR,Jasa Pemeliharaan Inventaris [NPR],JWUJGA,410119,2,732600,72600,660000
January,LAINNYA,PT. CAMERON HICKS SYFY 2,LANDLORD,Sewa Dibayar Dimuka Bangunan [NPR],NQQXEJ,410196,1,37029600,37029600,37029600
January,LAINNYA,PT. ATOM DC COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],HIZAKD,410105,9200,8280000,900,900
January,LAINNYA,PT. VIBE DC COMICS,KONTRAKTOR,Aset Dalam Penyelesaian [NPR],EBMMBG,410144,1,1065600000,1065600000,1065600000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,PKXAYH,200706,10,1150000,115000,115000
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],TMKDQO,410105,5300,4160500,785,785
January,LAINNYA,PT. BLACK CANARY DC COMICS,CORPORATE,COST - PACKAGING,QTVKJD,200213,43000,21499990,499.9988,500
January,LAINNYA,PT. BLACK CANARY DC COMICS,CORPORATE,COST - PACKAGING,PTDGOT,200213,1065000,471795000,443,443
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,TJUSDM,200287,1000,100000,100,100
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200198,14000,4900000,350,350
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200199,13,845000,65000,65000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200201,3,90000,30000,30000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200207,55,990000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200208,30,1230000,41000,41000
